"Element CSS selector","Total # of clicks","Visible in image","% of total"
"div#__next>main.jsx-c7c3b0d084b107d8>div.jsx-c7c3b0d084b107d8.login_container__20AyP>div.jsx-c7c3b0d084b107d8.login_innerContainer__4JCzq>div.jsx-c7c3b0d084b107d8.login_inputContainer__CEyl3>div.jsx-c7c3b0d084b107d8.Google>a>button.button_btn__GHDld.button_primary__4nNQn","4","No","33.33%"
"div#__next>main.jsx-c7c3b0d084b107d8>div.jsx-c7c3b0d084b107d8.login_container__20AyP>div.jsx-c7c3b0d084b107d8.login_innerContainer__4JCzq","2","No","16.67%"
"div#__next>main.jsx-c7c3b0d084b107d8>div.jsx-c7c3b0d084b107d8.login_container__20AyP>div.jsx-c7c3b0d084b107d8.login_innerContainer__4JCzq>div.jsx-c7c3b0d084b107d8.login_options__MPAr_>a.jsx-c7c3b0d084b107d8>div.jsx-c7c3b0d084b107d8.login_back__pE7Sh","2","No","16.67%"
"div#__next>main.jsx-c7c3b0d084b107d8>div.meta_container__ljuVb>div.meta_left__IkG_X>div.meta_locale__4d_x4","2","No","16.67%"
"div#__next>main.jsx-c7c3b0d084b107d8>div.jsx-c7c3b0d084b107d8.login_container__20AyP>div.jsx-c7c3b0d084b107d8.login_innerContainer__4JCzq>div.jsx-c7c3b0d084b107d8.login_inputContainer__CEyl3>div.jsx-c7c3b0d084b107d8.Google","1","No","8.33%"
"div#Google>a>button.button_btn__GHDld.button_primary__4nNQn","1","No","8.33%"
